섹션,질문,응답 타입,옵션
1. 사용자 정보,이름 / 닉네임,텍스트 입력,
1. 사용자 정보,이메일 주소,이메일 입력,
1. 사용자 정보,직무,드롭다운,"영업,회계,총무,마케팅,개발,기타"
1. 사용자 정보,산업군,드롭다운,"제조,IT,서비스,교육,공공,기타"
1. 사용자 정보,근무 형태,드롭다운,"사무직,재택,프리랜서,기타"
2. 사용 키트,사용한 자동화 키트,체크박스,"Outlook 자동회신 키트,Excel 정산 자동입력 키트,Python 파일정리 스크립트,GAS AutoMailer,Streamlit Report Viewer"
2. 사용 키트,기타 키트,텍스트 입력,
3. 사용 환경,사용 OS,라디오 버튼,"Windows,Mac,기타"
3. 사용 환경,사용 프로그램 버전,텍스트 입력,
3. 사용 환경,실행 결과,드롭다운,"정상 작동,오류 발생,일부 기능만 작동"
3. 사용 환경,오류 발생 시 메시지,긴 텍스트,
4. 효율성 평가,사용 전보다 업무 효율이 향상되었다,선형 척도,1-5
4. 효율성 평가,설치 및 실행이 쉬웠다,선형 척도,1-5
4. 효율성 평가,실제 내 업무에 적합했다,선형 척도,1-5
4. 효율성 평가,재사용 의사가 있다,선형 척도,1-5
4. 효율성 평가,다른 사람에게 추천하고 싶다 (NPS),선형 척도,1-5
4. 효율성 평가,효율 절감 시간,체크박스,"메일 처리 (하루 약 30분),엑셀 정리 (주 2시간 이상),파일 정리 (월 5시간 이상)"
5. 피드백,추가되면 좋을 기능,긴 텍스트,
5. 피드백,사용 중 불편했던 점,긴 텍스트,
5. 피드백,내가 원하는 커스터마이징 형태,긴 텍스트,
6. WorkFree 인식,처음 WorkFree를 어디서 알게 되었나요?,드롭다운,"인스타그램,네이버 블로그,지인 추천,기타"
6. WorkFree 인식,자동화에 관심을 가지게 된 이유,긴 텍스트,
6. WorkFree 인식,앞으로 어떤 자동화 키트를 원하시나요?,긴 텍스트,
7. 리워드,베타테스터 리워드 선택,라디오 버튼,"정식버전 50% 할인 쿠폰,자동화 챌린지 사전 참여권,WorkFree 크리에이터 등록 우선 초대"
8. 후기 동의,후기 공개 동의,라디오 버튼,"네 - 후기 공개에 동의합니다,아니요 - 내부 피드백으로만 활용"



